Time Summary,Distance,Avg Speed,Max Altitude,Avg Altitude,Elevation Gain,Image
01 h09m51 s,53.8mile,46.5mph,1565 ft,9418 ft,7853 ft,Data_EV_1 - Copy - Copy.jpg
01 h09m51 s,53.8mile,46.5mph,1565 ft,9418 ft,7853 ft,Data_EV_1 - Copy (2).jpg
01 h09m51 s,53.8mile,46.5mph,1565 ft,9418 ft,7853 ft,Data_EV_1 - Copy.jpg
01 h09m51 s,53.8mile,46.5mph,1565 ft,9418 ft,7853 ft,Data_EV_1.jpg
