Date, Time, Elapsed time (sec), Distance (mi), Speed (mph), Latitude, Longitude, Accuracy (ft), Altitude (ft)
15/03/24, 3:11 PM GMT-4, -8, 0.0, 0.0, 44.13614137418459, -72.66001741229701, 173.88452, 793.3268588160705
15/03/24, 3:12 PM GMT-4, 24, 0.039412925751322325, 0.3898583643743664, 44.13563517056142, -72.6596489951081, 14.92516622970581, 798.1876089134275
15/03/24, 3:12 PM GMT-4, 25, 0.03969311619857518, 0.3898583643743664, 44.13563142073265, -72.65964682648325, 22.2480476294899, 798.1876089134275
15/03/24, 3:12 PM GMT-4, 26, 0.04146680010965145, 2.2329826123259604, 44.135606691234464, -72.65963707392773, 20.19084252866745, 794.9587777809477
15/03/24, 3:12 PM GMT-4, 27, 0.04433984430010667, 5.14038970270505, 44.13556668841989, -72.65962101090024, 17.256033315696715, 794.9587777809477
15/03/24, 3:12 PM GMT-4, 28, 0.048386343745527756, 5.14038970270505, 44.13551054066977, -72.65959747099973, 22.54194703485489, 794.9587777809477
15/03/24, 3:12 PM GMT-4, 29, 0.051199010489567605, 5.14038970270505, 44.13547250133568, -72.65957708527793, 13.407029620990754, 794.9587777809477
15/03/24, 3:12 PM GMT-4, 30, 0.05359864740150943, 5.14038970270505, 44.13543946214627, -72.65956198547973, 19.4110494852829, 794.9587777809477
15/03/24, 3:12 PM GMT-4, 31, 0.055611527278022106, 5.14038970270505, 44.13541197590853, -72.65954838930357, 29.20361422077179, 794.9587777809477
15/03/24, 3:12 PM GMT-4, 32, 0.056958651328191195, 6.855704293337393, 44.13539333351414, -72.65954032558344, 31.488771895561218, 794.748139652239
15/03/24, 3:12 PM GMT-4, 33, 0.057835751121829475, 6.855704293337393, 44.13538132984309, -72.65953450705412, 13.623023719387055, 794.748139652239
15/03/24, 3:12 PM GMT-4, 34, 0.0601123753195658, 6.850826483002281, 44.13535021254448, -72.65951924602038, 13.598360536842346, 794.9526919360571
15/03/24, 3:12 PM GMT-4, 35, 0.0625446313972989, 6.850826483002281, 44.135316413434886, -72.65950533047803, 13.673742423992158, 794.9884971499669
15/03/24, 3:12 PM GMT-4, 36, 0.068855459448721, 12.808509147172355, 44.13522945747302, -72.65946590046204, 15.500343248062133, 794.9884971499669
15/03/24, 3:12 PM GMT-4, 37, 0.07409706620511153, 16.311131097026156, 44.135153547840424, -72.6594623794106, 15.512753842868804, 792.4466147160018
15/03/24, 3:12 PM GMT-4, 38, 0.08014494427281438, 19.616146795608998, 44.13506597329919, -72.65946690221385, 15.525960730724334, 792.6273942478507
15/03/24, 3:12 PM GMT-4, 39, 0.08758578463978, 23.251360280891703, 44.134958744322354, -72.65948259598464, 15.528257308712005, 793.9619511419752
15/03/24, 3:12 PM GMT-4, 40, 0.09640652625559773, 27.73554316182308, 44.1348314829038, -72.65949913640262, 15.517065402088166, 794.7651252776743
15/03/24, 3:12 PM GMT-4, 41, 0.10618943790501288, 31.309874150209332, 44.134690373261996, -72.65951797473505, 15.500638924655915, 794.5731153488116
15/03/24, 3:12 PM GMT-4, 42, 0.1163868354777246, 34.23356731917477, 44.13454318916247, -72.65953616312072, 15.491366569252014, 794.8822787283343
15/03/24, 3:12 PM GMT-4, 43, 0.12703642552429253, 36.1152565217577, 44.13438895723255, -72.65954318241592, 15.474728894252777, 795.0316025367225
15/03/24, 3:12 PM GMT-4, 44, 0.13769807386505648, 36.95809265490322, 44.1342345834992, -72.65955149272081, 15.473780851840973, 795.198864941512
15/03/24, 3:12 PM GMT-4, 45, 0.14831361891652706, 37.36639087299099, 44.134080816431876, -72.65955716058617, 15.482041023349762, 793.0326813644642
15/03/24, 3:12 PM GMT-4, 46, 0.15930882676284355, 38.23128115144348, 44.133921506176975, -72.65955988297561, 15.473680728549958, 795.5676481230985
15/03/24, 3:12 PM GMT-4, 47, 0.17008573140040595, 38.28200269901733, 44.13376534877569, -72.65956086401727, 15.482358601913452, 797.5552073276365
15/03/24, 3:12 PM GMT-4, 48, 0.1817609334517732, 37.862833139810945, 44.1335962027127, -72.65955647045462, 15.17956230348587, 800.2146877782512
15/03/24, 3:12 PM GMT-4, 49, 0.19200327133094366, 37.113401794643785, 44.133447806013756, -72.65955340261914, 15.175726329898835, 801.4427920542745
15/03/24, 3:12 PM GMT-4, 50, 0.202192679828336, 36.53998121681042, 44.13330107186178, -72.6595305740638, 15.1568468318367, 801.3483769061118
15/03/24, 3:12 PM GMT-4, 51, 0.21240507438506456, 36.156433646222304, 44.133155117156214, -72.65949658643267, 15.119175443592072, 801.9289672096065
15/03/24, 3:12 PM GMT-4, 52, 0.22330872726511602, 37.624094563558, 44.13299842550255, -72.65946836304123, 15.121565887165069, 798.6212085977668
15/03/24, 3:12 PM GMT-4, 53, 0.2344974047829886, 39.149602279514696, 44.13284067023384, -72.6594162682682, 15.146826680603027, 799.0634671317998
15/03/24, 3:12 PM GMT-4, 54, 0.24552553364691748, 39.70122044246731, 44.132689771154645, -72.65934300119685, 15.155341853618621, 800.4797294010604
15/03/24, 3:12 PM GMT-4, 55, 0.2562624271052556, 39.48637065700054, 44.13254504985139, -72.65926344206389, 15.144752251167297, 801.3770151250859
15/03/24, 3:12 PM GMT-4, 56, 0.2676196748380968, 40.484716460904124, 44.13239161830419, -72.65918052778758, 15.152153552570343, 802.5831268839092
15/03/24, 3:12 PM GMT-4, 57, 0.278782593945487, 40.69303832175884, 44.13223934601363, -72.65910450830005, 15.176073632564545, 803.6219519710005
15/03/24, 3:12 PM GMT-4, 58, 0.28999879329439027, 40.869569616414644, 44.132088383483065, -72.65902062803609, 15.194211592502594, 805.1286924726663
15/03/24, 3:12 PM GMT-4, 59, 0.3014712116617166, 41.20652145844841, 44.1319334606654, -72.65893664179778, 15.203228946399689, 804.7561370831471
15/03/24, 3:12 PM GMT-4, 60, 0.31291767599976644, 41.32235585406437, 44.131776968511645, -72.65886007469135, 15.207565536441804, 809.4413232416267
15/03/24, 3:12 PM GMT-4, 61, 0.32486240982043413, 42.12090023204804, 44.13161407577811, -72.6587785601977, 15.200613225421906, 810.8190735642704
15/03/24, 3:12 PM GMT-4, 62, 0.3365730551652395, 42.24724757292156, 44.13145549362039, -72.65869443173538, 15.206284271202087, 814.2565282933888
15/03/24, 3:12 PM GMT-4, 63, 0.34826815781218035, 42.174488946510316, 44.131295451486004, -72.6586168025138, 15.189451042900085, 817.16151543519
15/03/24, 3:12 PM GMT-4, 64, 0.35948227108768244, 41.31377568648605, 44.13114248222596, -72.65854043053419, 15.176419370803833, 820.4101607952417
15/03/24, 3:12 PM GMT-4, 65, 0.37077205098196847, 40.86705231215248, 44.130985578101225, -72.65847593392547, 15.16738793706894, 821.8580559287001
15/03/24, 3:12 PM GMT-4, 66, 0.38272820390691337, 41.69497661750774, 44.1308182733033, -72.65841326225042, 15.06508383562088, 823.1915379885402
15/03/24, 3:13 PM GMT-4, 67, 0.3938800792194846, 40.97258282676315, 44.130661473352106, -72.65835883920428, 15.016628856048584, 821.8968711509899
15/03/24, 3:13 PM GMT-4, 68, 0.4054030429132484, 40.975590792025564, 44.13049864015767, -72.65830738083595, 15.026589559078216, 821.2255348567855
15/03/24, 3:13 PM GMT-4, 69, 0.41713082992679806, 41.37334193191662, 44.13033278469584, -72.65825579964414, 15.032537508335114, 823.8205612565831
15/03/24, 3:13 PM GMT-4, 70, 0.429130734915906, 42.33180339642582, 44.13016310841339, -72.65820285045041, 15.078938396015166, 822.1654014202761
15/03/24, 3:13 PM GMT-4, 71, 0.4414177968810823, 43.470469713166615, 44.12998917364094, -72.65814988192106, 15.101585032901763, 823.2788258360323
15/03/24, 3:13 PM GMT-4, 72, 0.45356021262058743, 43.61504404354515, 44.12981659052805, -72.6581021886586, 15.117895742778778, 824.8962722920784
15/03/24, 3:13 PM GMT-4, 73, 0.4656913271025376, 43.589807001662635, 44.12964674698676, -72.658039071852, 15.11413173280716, 827.2440344256592
15/03/24, 3:13 PM GMT-4, 74, 0.477733835739731, 43.17726349926834, 44.12947906798898, -72.65797177508342, 15.135215507698058, 829.6829908314519
15/03/24, 3:13 PM GMT-4, 75, 0.48992769309431433, 43.43922100737667, 44.12931357800715, -72.65788552327231, 15.143711907596588, 831.4596895417873
15/03/24, 3:13 PM GMT-4, 76, 0.5022724846749601, 44.6646873883707, 44.129147940340594, -72.65779142843172, 15.161122409248351, 833.5772376313423
15/03/24, 3:13 PM GMT-4, 77, 0.5140352639915458, 43.56981789917412, 44.12898524658129, -72.65772063473146, 15.159886512374877, 836.7639410488592
15/03/24, 3:13 PM GMT-4, 78, 0.5257975621750424, 42.669570162381746, 44.128825668558804, -72.65763723160214, 15.15190011548996, 839.7025588060109
15/03/24, 3:13 PM GMT-4, 79, 0.5379495270367407, 43.4297619166153, 44.1286694204616, -72.65752411663958, 15.115804104652405, 843.6797760000752
15/03/24, 3:13 PM GMT-4, 80, 0.5502356564006802, 44.62242227647076, 44.128514227355986, -72.65740258944226, 15.148280032749176, 852.1505264674213
15/03/24, 3:13 PM GMT-4, 81, 0.5627299947617198, 45.75080604529324, 44.128349491300504, -72.65729796836413, 15.163456533470153, 853.4773615818902
15/03/24, 3:13 PM GMT-4, 82, 0.5747307141302314, 44.91720713880463, 44.12818926259076, -72.65720383583098, 15.174628102550507, 856.0113677735347
15/03/24, 3:13 PM GMT-4, 83, 0.5861435042353421, 42.637378534147835, 44.12802729345514, -72.65715733137854, 15.14363994398117, 859.7862291048671
15/03/24, 3:13 PM GMT-4, 84, 0.5984239628596365, 42.966087271377376, 44.12785118735078, -72.65712177678806, 15.111980646476745, 862.4407088511459
15/03/24, 3:13 PM GMT-4, 85, 0.609914445777912, 41.33582129855824, 44.12768545674119, -72.65709952022722, 15.069318737945556, 865.1328935658381
15/03/24, 3:13 PM GMT-4, 86, 0.6221161317106128, 41.29043302272625, 44.127509429170004, -72.65707645785368, 15.0688196859169, 866.9210438898056
15/03/24, 3:13 PM GMT-4, 87, 0.6349884403381042, 43.10585312395344, 44.1273235939757, -72.65705418425915, 15.070116595420837, 867.3066309697541
15/03/24, 3:13 PM GMT-4, 88, 0.6477341791089615, 44.57564308336849, 44.12714051316131, -72.65702031766673, 15.068207995185851, 867.1068412827372
15/03/24, 3:13 PM GMT-4, 89, 0.6603283613817905, 45.279233891259956, 44.12695878342369, -72.65699711117739, 15.058447538738251, 866.932002541061
15/03/24, 3:13 PM GMT-4, 90, 0.6726913407373506, 45.09969463134174, 44.126781675366935, -72.65695961567272, 15.050331294460296, 869.2700257687792
15/03/24, 3:13 PM GMT-4, 91, 0.6850671027077666, 45.133870236663626, 44.12660369180286, -72.65692909702045, 15.060241935844422, 873.2463406860157
15/03/24, 3:13 PM GMT-4, 92, 0.6973479147002, 45.1774324002512, 44.126426522383866, -72.65690589061347, 15.06540767189026, 875.3018209975412
15/03/24, 3:13 PM GMT-4, 93, 0.7095593992437265, 45.01240817270565, 44.12624993350004, -72.65689023232085, 15.09098135061264, 875.8235345404124
15/03/24, 3:13 PM GMT-4, 94, 0.721974935795833, 44.88599256595383, 44.12607004471617, -72.65688708635214, 15.113346390743256, 877.8548470853527
15/03/24, 3:13 PM GMT-4, 95, 0.7342006413888009, 44.39074495200405, 44.12589289863709, -72.65688502186701, 15.133331938285828, 877.3662113928107
15/03/24, 3:13 PM GMT-4, 96, 0.7465599859510342, 44.25343240442925, 44.12571381292986, -72.6568864701033, 15.143076750469207, 878.0516554706034
15/03/24, 3:13 PM GMT-4, 97, 0.7591799197058721, 44.824199146243856, 44.12553094859979, -72.65688595846608, 15.14364620168686, 878.4527239127608
15/03/24, 3:13 PM GMT-4, 98, 0.7718162779323436, 45.12474820867634, 44.125347895279575, -72.65689188160711, 15.14110713760376, 880.167676395807
15/03/24, 3:13 PM GMT-4, 99, 0.7843216653535845, 44.96504871963787, 44.12516679010688, -72.65690025571114, 15.143505403308868, 880.6524346482952
15/03/24, 3:13 PM GMT-4, 100, 0.7968603275425553, 44.72073367445164, 44.12498515247797, -72.65690615937143, 15.145767563915253, 881.8468585681524
15/03/24, 3:13 PM GMT-4, 101, 0.8089934310697205, 44.05888745113811, 44.124809342765744, -72.6569068698417, 15.153340952224731, 882.2905368863849
15/03/24, 3:13 PM GMT-4, 102, 0.8212688187956095, 44.01714286656017, 44.12463159371113, -72.65689765198246, 15.16906343776703, 883.1756642090874
15/03/24, 3:13 PM GMT-4, 103, 0.8335903852168458, 44.224120742935945, 44.12445342915368, -72.65688150246787, 15.17980635400772, 882.4282710632865
15/03/24, 3:13 PM GMT-4, 104, 0.8457349301340744, 44.1714280181263, 44.12427848855855, -72.6568549451137, 15.18666479944229, 882.0700986802962
