Date, Time, Elapsed time (sec), Distance (mi), Speed (mph), Latitude, Longitude, Accuracy (ft), Altitude (ft)
18/04/24, 7:16 AM GMT-4, 1232, 13.10028494072243, 44.478739669127464, 44.398188464297206, -73.04253551167618, 15.330089849395751, 598.0111903499995
18/04/24, 7:16 AM GMT-4, 1233, 13.112634755561794, 44.57583934776859, 44.3983527386234, -73.04243617023104, 15.321394767341614, 592.7757491766156
18/04/24, 7:16 AM GMT-4, 1234, 13.124916012724526, 44.43456737925263, 44.398517907221596, -73.04234344952889, 15.317116061077117, 588.1625329737582
18/04/24, 7:16 AM GMT-4, 1235, 13.137124744981941, 44.079934674740215, 44.39868186771286, -73.0422504681207, 15.312727844963074, 586.7851079020899
18/04/24, 7:16 AM GMT-4, 1236, 13.149531416011817, 43.87678395416641, 44.398849950414515, -73.04216120232218, 15.321105348453521, 583.638537024187
18/04/24, 7:16 AM GMT-4, 1237, 13.161781199492946, 43.42072948759327, 44.399016586021965, -73.04207560911092, 15.312748182506562, 581.8916478359989
18/04/24, 7:16 AM GMT-4, 1238, 13.17386824155687, 43.082472060637095, 44.399182637082276, -73.0419976466304, 15.318147018089295, 581.609419363406
18/04/24, 7:16 AM GMT-4, 1239, 13.185868231102186, 42.795665772829054, 44.399349603713716, -73.04192968747391, 15.312912447280883, 580.2397144825226
18/04/24, 7:16 AM GMT-4, 1240, 13.197870146899296, 42.87896294420223, 44.39951911658937, -73.04187528936217, 15.325413778820037, 576.644478096618
18/04/24, 7:16 AM GMT-4, 1241, 13.209699543409338, 42.7135973872652, 44.39968746384212, -73.04183012785867, 15.341367799472808, 576.3285032013978
18/04/24, 7:16 AM GMT-4, 1242, 13.221663047601613, 42.69984607940597, 44.39986002875392, -73.04180699067172, 15.355895063228607, 575.1612818184428
18/04/24, 7:16 AM GMT-4, 1243, 13.233671430032457, 42.66716805678921, 44.40003364697454, -73.04179075715601, 15.374017378902435, 574.333546114584
18/04/24, 7:16 AM GMT-4, 1244, 13.24543722134269, 42.3253224046051, 44.400203921598965, -73.0417787671009, 15.389533360157014, 574.2329777198071
18/04/24, 7:16 AM GMT-4, 1245, 13.25692887270149, 41.62629261070728, 44.400370240454336, -73.04176738325674, 15.40330031267166, 573.5426393553415
18/04/24, 7:16 AM GMT-4, 1246, 13.268266798527668, 40.927164684609416, 44.400534096928496, -73.04175068778942, 15.413794485111236, 574.1410709705251
18/04/24, 7:16 AM GMT-4, 1247, 13.279434450540853, 40.190251594874766, 44.40069524674539, -73.04173005344508, 15.428476627082825, 573.5038789215872
18/04/24, 7:16 AM GMT-4, 1248, 13.29044216892297, 39.2993093506176, 44.40085359726026, -73.04170323827697, 15.441425384578706, 572.4920223918715
18/04/24, 7:16 AM GMT-4, 1249, 13.301230081716163, 38.282856022496034, 44.40100796767503, -73.0416687889176, 15.452562536277771, 572.5882463255858
18/04/24, 7:16 AM GMT-4, 1250, 13.311504947394027, 36.5344175477293, 44.40115397644862, -73.0416280186379, 15.44540841424942, 570.9196310990084
18/04/24, 7:16 AM GMT-4, 1251, 13.321096931331107, 34.559148625854874, 44.40128921122459, -73.04158309819796, 15.4399751612854, 568.7938385983186
18/04/24, 7:16 AM GMT-4, 1252, 13.330046618809934, 32.46094565702171, 44.4014137371767, -73.04153241625097, 15.430371147480011, 566.8513266584434
18/04/24, 7:16 AM GMT-4, 1253, 13.338436441192504, 30.162636199125004, 44.401526295953474, -73.04146812183811, 15.423797427654266, 563.5767524001504
18/04/24, 7:16 AM GMT-4, 1254, 13.34572304235525, 25.839616256998063, 44.40161856335443, -73.04139627430249, 15.416599501686097, 561.7777599716405
18/04/24, 7:16 AM GMT-4, 1255, 13.351458875197105, 20.9235364971755, 44.401686147563694, -73.0413285626159, 15.424826820240021, 559.0792292742212
18/04/24, 7:16 AM GMT-4, 1256, 13.356805799502782, 18.498721833561707, 44.40173234935754, -73.04124150861817, 15.421530573768615, 558.3157940812818
18/04/24, 7:16 AM GMT-4, 1257, 13.362052051514533, 18.27151805743208, 44.40175701587442, -73.04114086254081, 15.417362941780091, 556.2316975383065
18/04/24, 7:16 AM GMT-4, 1258, 13.36812445883348, 20.549697614466286, 44.40174289190854, -73.04101930055327, 15.405279312095642, 551.9827641358248
18/04/24, 7:16 AM GMT-4, 1259, 13.375380232840493, 25.119517906411172, 44.401698518538545, -73.04088588948699, 15.392325861320495, 550.6066204241173
18/04/24, 7:16 AM GMT-4, 1260, 13.384153913337368, 30.57436477759714, 44.40163886236308, -73.04072875136666, 15.387993964557648, 551.3081164000463
18/04/24, 7:16 AM GMT-4, 1261, 13.394517941835343, 35.6499264289711, 44.40157231762395, -73.0405403135425, 15.381895830364227, 549.6918290434251
18/04/24, 7:16 AM GMT-4, 1262, 13.405408177305327, 38.77737831148892, 44.40150396145062, -73.04034123930249, 15.378050470218659, 552.1188057652803
18/04/24, 7:16 AM GMT-4, 1263, 13.417121816809425, 41.47423890003795, 44.401438512531705, -73.0401220395015, 15.365239382247925, 552.0789381606696
18/04/24, 7:16 AM GMT-4, 1264, 13.429439296864896, 43.68884372460041, 44.40137016569436, -73.03989126287458, 15.36419434539795, 554.4260056675303
18/04/24, 7:16 AM GMT-4, 1265, 13.441842449635761, 44.67101051534786, 44.40130070134994, -73.03965925598527, 15.36787074748993, 558.2185794684245
18/04/24, 7:16 AM GMT-4, 1266, 13.454471619492201, 45.518288197200015, 44.40122836696499, -73.03942397518692, 15.377229146347046, 560.4745066605071
18/04/24, 7:16 AM GMT-4, 1267, 13.467181431966226, 45.94833336414242, 44.40115538135871, -73.03918730652623, 15.375057722473144, 561.1528774378404
18/04/24, 7:16 AM GMT-4, 1268, 13.48011947820033, 46.308278007309724, 44.401080473142414, -73.0389467597825, 15.372194822120667, 563.5363330052297
18/04/24, 7:16 AM GMT-4, 1269, 13.493033125396229, 46.25313197749882, 44.40100833723293, -73.03870509525748, 15.3693115842247, 568.3002649954395
18/04/24, 7:16 AM GMT-4, 1270, 13.505818646826647, 46.10682113384113, 44.40093545162997, -73.03846669604434, 15.366824146213531, 570.9091853382333
18/04/24, 7:16 AM GMT-4, 1271, 13.51855117039143, 45.66664701720657, 44.40086536956116, -73.03822781749183, 15.363297929058074, 576.7651678720948
18/04/24, 7:16 AM GMT-4, 1272, 13.531011145611512, 44.84496903971539, 44.400796420212, -73.03799426441721, 15.363577961387634, 583.4397607432734
18/04/24, 7:16 AM GMT-4, 1273, 13.543231980431042, 44.20816786050167, 44.40073262909404, -73.03776304915164, 15.365211222572327, 587.7226415330116
18/04/24, 7:17 AM GMT-4, 1274, 13.555420696644127, 43.84881627715206, 44.400673589749914, -73.0375300656591, 15.36818832605362, 591.6073676523033
18/04/24, 7:17 AM GMT-4, 1275, 13.56755704776121, 43.66481840205765, 44.400621062302655, -73.03729516035291, 15.370286221885681, 593.2362667394697
18/04/24, 7:17 AM GMT-4, 1276, 13.579778751304072, 43.939422164120295, 44.400573797217135, -73.03705627891338, 15.368939250736236, 594.5631359504903
